"timestamp","light","distance","__dt"
"2021-06-03T20:38:42","100.0",,"2021-06-03 00:00:00.000"
"2021-06-26T09:00:49",,"24.75945","2021-06-26 00:00:00.000"
"2021-06-26T09:00:49","40.58609",,"2021-06-26 00:00:00.000"
"2021-06-26T08:27:00",,"38.59107","2021-06-26 00:00:00.000"
"2021-06-26T08:27:00","49.76801",,"2021-06-26 00:00:00.000"
"2021-06-26T08:27:20","50.47619",,"2021-06-26 00:00:00.000"
"2021-06-26T08:27:20",,"38.96907","2021-06-26 00:00:00.000"
"2021-06-04T20:03:36",,"54.622","2021-06-04 00:00:00.000"
"2021-06-04T20:03:36","0.0",,"2021-06-04 00:00:00.000"
"2021-06-04T20:03:57",,"64.74226","2021-06-04 00:00:00.000"
"2021-06-04T20:03:57","0.0",,"2021-06-04 00:00:00.000"
"2021-06-04T19:45:12",,"17.7835","2021-06-04 00:00:00.000"
"2021-06-04T19:45:12","0.0",,"2021-06-04 00:00:00.000"
"2021-06-20T10:11:34","0.0",,"2021-06-20 00:00:00.000"
"2021-06-20T10:11:34",,"33.91753","2021-06-20 00:00:00.000"
"2021-06-20T10:11:55","0.0",,"2021-06-20 00:00:00.000"
"2021-06-20T10:11:55",,"31.16838","2021-06-20 00:00:00.000"
"2021-06-22T08:47:47",,"47.71478","2021-06-22 00:00:00.000"
"2021-06-22T08:47:47","0.0",,"2021-06-22 00:00:00.000"
"2021-06-21T13:16:00","52.60073",,"2021-06-21 00:00:00.000"
"2021-06-21T13:16:00",,"48.33333","2021-06-21 00:00:00.000"
"2021-06-21T13:16:20",,"52.90378","2021-06-21 00:00:00.000"
"2021-06-21T13:16:20","53.5287",,"2021-06-21 00:00:00.000"
"2021-06-20T10:06:03",,"49.50172","2021-06-20 00:00:00.000"
"2021-06-20T10:06:03","0.0",,"2021-06-20 00:00:00.000"
"2021-06-20T10:06:24","0.0",,"2021-06-20 00:00:00.000"
"2021-06-20T10:06:24",,"10.24055","2021-06-20 00:00:00.000"
"2021-06-26T08:48:46",,"34.07216","2021-06-26 00:00:00.000"
"2021-06-26T08:48:46","41.85592",,"2021-06-26 00:00:00.000"
"2021-06-23T11:33:07","0.0",,"2021-06-23 00:00:00.000"
"2021-06-23T11:33:07",,"57.43986","2021-06-23 00:00:00.000"
"2021-06-23T11:33:27",,"1212.904","2021-06-23 00:00:00.000"
"2021-06-23T11:33:27","0.0",,"2021-06-23 00:00:00.000"
"2021-06-26T08:33:32","49.69475",,"2021-06-26 00:00:00.000"
"2021-06-26T08:33:32",,"41.80412","2021-06-26 00:00:00.000"
"2021-06-26T08:33:53",,"41.13402","2021-06-26 00:00:00.000"
"2021-06-26T08:33:53","49.62149",,"2021-06-26 00:00:00.000"
"2021-06-10T16:52:19","0.0",,"2021-06-10 00:00:00.000"
"2021-06-10T16:52:19",,"30.01718","2021-06-10 00:00:00.000"
"2021-06-22T09:08:40",,"37.98969","2021-06-22 00:00:00.000"
"2021-06-22T09:08:40","0.0",,"2021-06-22 00:00:00.000"
"2021-06-10T17:05:46",,"37.54295","2021-06-10 00:00:00.000"
"2021-06-10T17:05:46","0.0",,"2021-06-10 00:00:00.000"
"2021-06-26T08:15:59",,"26.75258","2021-06-26 00:00:00.000"
"2021-06-26T08:15:59","45.27473",,"2021-06-26 00:00:00.000"
"2021-06-26T08:16:19","44.98168",,"2021-06-26 00:00:00.000"
"2021-06-26T08:16:19",,"41.89003","2021-06-26 00:00:00.000"
"2021-06-03T20:52:29","31.28205",,"2021-06-03 00:00:00.000"
"2021-06-03T20:52:29",,"44.29554","2021-06-03 00:00:00.000"
"2021-06-03T20:52:50","35.23809",,"2021-06-03 00:00:00.000"
"2021-06-03T20:52:50",,"73.88317","2021-06-03 00:00:00.000"
"2021-06-26T08:00:29","52.74725",,"2021-06-26 00:00:00.000"
"2021-06-26T08:00:29",,"25.6701","2021-06-26 00:00:00.000"
"2021-06-26T08:00:50","52.96703",,"2021-06-26 00:00:00.000"
"2021-06-26T08:00:50",,"23.3677","2021-06-26 00:00:00.000"
"2021-06-20T12:21:37","0.0",,"2021-06-20 00:00:00.000"
"2021-06-20T12:21:37",,"45.17182","2021-06-20 00:00:00.000"
"2021-06-20T12:21:57",,"65.24055","2021-06-20 00:00:00.000"
"2021-06-20T12:21:57","0.0",,"2021-06-20 00:00:00.000"
"2021-06-22T08:48:49","0.0",,"2021-06-22 00:00:00.000"
"2021-06-22T08:48:49",,"59.94845","2021-06-22 00:00:00.000"
"2021-06-26T08:56:41",,"25.36083","2021-06-26 00:00:00.000"
"2021-06-26T08:56:41","49.62149",,"2021-06-26 00:00:00.000"
"2021-06-10T17:07:29","0.0",,"2021-06-10 00:00:00.000"
"2021-06-10T17:07:29",,"34.34708","2021-06-10 00:00:00.000"
"2021-06-10T17:07:50","0.0",,"2021-06-10 00:00:00.000"
"2021-06-10T17:07:50",,"40.84192","2021-06-10 00:00:00.000"
"2021-06-26T08:30:47",,"75.75601","2021-06-26 00:00:00.000"
"2021-06-26T08:30:47","52.11233",,"2021-06-26 00:00:00.000"
"2021-06-20T10:15:42","0.0",,"2021-06-20 00:00:00.000"
"2021-06-20T10:15:42",,"54.00344","2021-06-20 00:00:00.000"
"2021-06-20T13:41:59","0.0",,"2021-06-20 00:00:00.000"
"2021-06-20T13:41:59",,"45.7732","2021-06-20 00:00:00.000"
